Sentence,Entity,Output
I'm interested in Cakes,Cuisine,Cakes
I'm in Bago,Location,Bago
I'm comfortable spending 935,Money,935
My location is Arau,Location,Arau
I can afford 647,Money,647
I'm looking for something within 956,Money,956
I'm comfortable spending 768,Money,768
I have 149 to spend,Money,149
In Nong Bua Lam Phu right now,Location,Nong Bua Lam Phu
I'm comfortable spending 99,Money,99
I'm craving Halétel,Cuisine,Halétel
How about Alcohol,Cuisine,Alcohol
I have 446 to spend,Money,446
I reside in Phrae,Location,Phrae
My favorite is Continental,Cuisine,Continental
My favorite is Török,Cuisine,Török
I'm located in Sukkur,Location,Sukkur
Bintulu is my place,Location,Bintulu
I'm comfortable spending 966,Money,966
I want to spend around 71,Money,71
I'm looking for something within 626,Money,626
I would like Bowl cuisine,Cuisine,Bowl
Arau is my home,Location,Arau
I'm willing to pay 125,Money,125
I can spend up to 617,Money,617
I'm interested in Wraps,Cuisine,Wraps
I would like Amerikai cuisine,Cuisine,Amerikai
I'm looking for အချိုပွဲများ,Cuisine,အချိုပွဲများ
Lakshmipur is where I live,Location,Lakshmipur
My budget is 885,Money,885
Currently in Malolos Bulacan,Location,Malolos Bulacan
I'm looking for Stredomorská,Cuisine,Stredomorská
I can spend up to 467,Money,467
I'm comfortable spending 815,Money,815
I'm in Ulu Tiram,Location,Ulu Tiram
I'm looking for Ázsiai,Cuisine,Ázsiai
From Faridpur here,Location,Faridpur
I want to try ဆူရှီ,Cuisine,ဆူရှီ
I reside in Prešov,Location,Prešov
I'm looking for ອິນເດຍ,Cuisine,ອິນເດຍ
I'm looking for something within 497,Money,497
Phetchaburi is where I reside,Location,Phetchaburi
Taitung County is where I live,Location,Taitung County
I'm interested in Mediterranean,Cuisine,Mediterranean
Currently in Pabna,Location,Pabna
I can spend up to 279,Money,279
I'm willing to pay 356,Money,356
I'm interested in ແຊນວິດ,Cuisine,ແຊນວິດ
Naogaon is my location,Location,Naogaon
I'm looking for ແມັກຊິໂກ,Cuisine,ແມັກຊິໂກ
Khammouane is my current location,Location,Khammouane
I have around 668 for the meal,Money,668
My home Islamabad is Islamabad,Location,Islamabad
I enjoy Ázijská,Cuisine,Ázijská
I'm located in Peshawar,Location,Peshawar
I have around 867 for the meal,Money,867
Let's go for ໄທ,Cuisine,ໄທ
I can afford 576,Money,576
I'm ready to spend 929,Money,929
I would like မုန့်တိုက် cuisine,Cuisine,မုန့်တိုက်
I'm ready to spend 546,Money,546
How about ເອີຣົບ,Cuisine,ເອີຣົບ
Let's go for European,Cuisine,European
I love Chicken food,Cuisine,Chicken
I can spend up to 291,Money,291
Bangkok is my location,Location,Bangkok
Samut Songkhram is my location,Location,Samut Songkhram
Let's go for Filipino,Cuisine,Filipino
I enjoy မြန်မာအစားအစာ,Cuisine,မြန်မာအစားအစာ
Barguna is my place,Location,Barguna
I want to spend around 275,Money,275
I enjoy Havajská,Cuisine,Havajská
I have 867 to spend,Money,867
I'm comfortable spending 207,Money,207
I am currently living in Pakse,Location,Pakse
Currently in Lakshmipur,Location,Lakshmipur
Surin is where I reside,Location,Surin
I enjoy Fried Chicken,Cuisine,Fried Chicken
I have around 232 for the meal,Money,232
I'm comfortable spending 264,Money,264
I want to try အင်ဒိုနီးရှားအစားအစာ,Cuisine,အင်ဒိုနီးရှားအစားအစာ
I'm looking for ဂျပန်အစားအစာ,Cuisine,ဂျပန်အစားအစာ
I have 202 to spend,Money,202
I would like ເອີຣົບ cuisine,Cuisine,ເອີຣົບ
I'm located in Dinajpur,Location,Dinajpur
Multan is where I live,Location,Multan
I want to try Tea,Cuisine,Tea
Zvolen is where I reside,Location,Zvolen
Korean is my favorite,Cuisine,Korean
異國 is my favorite,Cuisine,異國
Debrecen is where I reside,Location,Debrecen
Hailing from Noakhali,Location,Noakhali
Preah Sihanouk is where I reside,Location,Preah Sihanouk
I live in Poipet,Location,Poipet
I'm ready to spend 298,Money,298
ဆန်ပြုတ် is my favorite,Cuisine,ဆန်ပြုတ်
I can afford 495,Money,495
Suphan Buri is my current location,Location,Suphan Buri
I would like Dumpling cuisine,Cuisine,Dumpling
I'm located in Kampong Chhnang,Location,Kampong Chhnang
Grúz is my favorite,Cuisine,Grúz
I enjoy Curry,Cuisine,Curry
My budget is 48,Money,48
Petaling Jaya is my current Petaling Jaya,Location,Petaling Jaya
How about Alcohol,Cuisine,Alcohol
I'm interested in Malaysian,Cuisine,Malaysian
I'm located in Uttaradit,Location,Uttaradit
I'm interested in ຫວຽດນາມ,Cuisine,ຫວຽດນາມ
I'm craving Roti Canai,Cuisine,Roti Canai
I love Halo-Halo food,Cuisine,Halo-Halo
I'm in Kangar,Location,Kangar
I'm in Chandpur,Location,Chandpur
Kalasin is my place,Location,Kalasin
My budget is 607,Money,607
I'm located in Nakhon Pathom,Location,Nakhon Pathom
I'm interested in ຂອງຫວານ,Cuisine,ຂອງຫວານ
From Seri Iskandar here,Location,Seri Iskandar
Living in Valencia Bukidnon,Location,Valencia Bukidnon
Let's go for Taiwanese,Cuisine,Taiwanese
I want to spend around 754,Money,754
My favorite is Dumpling,Cuisine,Dumpling
Living in Sylhet,Location,Sylhet
Johor Bahru is my current location,Location,Johor Bahru
I want to try Shanghainese,Cuisine,Shanghainese
Hailing from Bangkok,Location,Bangkok
I'm located in Kerian,Location,Kerian
My favorite is Halal,Cuisine,Halal
Hailing from Chandpur,Location,Chandpur
I have around 905 for the meal,Money,905
I love Spanyol food,Cuisine,Spanyol
I'm in the mood for အသားညှပ်ပေါင်မုန့်,Cuisine,အသားညှပ်ပေါင်မုန့်
I can afford 457,Money,457
How about ထမင်းပါသော ဟင်းလျာများ,Cuisine,ထမင်းပါသော ဟင်းလျာများ
Let's go for Sichuan,Cuisine,Sichuan
I have 147 to spend,Money,147
Pasig City is where I reside,Location,Pasig City
I'm looking for something within 381,Money,381
From Chiayi City here,Location,Chiayi City
I'm ready to spend 522,Money,522
Living in New Taipei City,Location,New Taipei City
I would like Orosz cuisine,Cuisine,Orosz
I'm in the mood for ဟလာလ်,Cuisine,ဟလာလ်
I want to try ອີຕາລີ,Cuisine,ອີຕາລີ
I live in Rayong,Location,Rayong
I'm comfortable spending 218,Money,218
I enjoy ຕາເວັນຕົກ,Cuisine,ຕາເວັນຕົກ
I'm willing to pay 880,Money,880
I'm craving အီတလီအစားအစာ,Cuisine,အီတလီအစားအစာ
I'm willing to pay 693,Money,693
I have 807 to spend,Money,807
Spanyol is my favorite,Cuisine,Spanyol
Hailing from Kluang,Location,Kluang
Gujranwala is where I live,Location,Gujranwala
I'm in the mood for Thai,Cuisine,Thai
I'm in Puchong,Location,Puchong
Lahore is my place,Location,Lahore
I'm interested in 韓式,Cuisine,韓式
Currently in Khulna,Location,Khulna
I'm in the mood for ຝຣັ່ງ,Cuisine,ຝຣັ່ງ
How about ອາຊີ,Cuisine,ອາຊີ
I'm looking for ဆန်ခေါက်ဆွဲ,Cuisine,ဆန်ခေါက်ဆွဲ
I have around 907 for the meal,Money,907
I'm interested in ကိတ်များ,Cuisine,ကိတ်များ
I'm in Faridpur,Location,Faridpur
I love Malay food,Cuisine,Malay
I can afford 209,Money,209
I have around 499 for the meal,Money,499
I want to spend around 793,Money,793
My home Prievidza is Prievidza,Location,Prievidza
Nakhon Phanom is my current Nakhon Phanom,Location,Nakhon Phanom
Debrecen is my current location,Location,Debrecen
Hailing from Poipet,Location,Poipet
I'm interested in Dessert,Cuisine,Dessert
I can afford 934,Money,934
I would like Curry cuisine,Cuisine,Curry
I live in Siem Reap,Location,Siem Reap
Living in Miskolc,Location,Miskolc
From Sirajganj here,Location,Sirajganj
Samut Prakan is my location,Location,Samut Prakan
I'm ready to spend 896,Money,896
I enjoy ຫວຽດນາມ,Cuisine,ຫວຽດນາມ
Kota Tinggi is my location,Location,Kota Tinggi
Mudon is where I live,Location,Mudon
I'm willing to pay 995,Money,995
I'm comfortable spending 393,Money,393
I'm craving ເຄັກ,Cuisine,ເຄັກ
Jamalpur is my current location,Location,Jamalpur
I'm interested in Juice Corner,Cuisine,Juice Corner
I can afford 222,Money,222
I'm craving Snacks,Cuisine,Snacks
Let's go for Middle Eastern,Cuisine,Middle Eastern
How about Mexikói,Cuisine,Mexikói
I'm in the mood for ເອີຣົບ,Cuisine,ເອີຣົບ
Vegetarian is my favorite,Cuisine,Vegetarian
Taguig City is where I live,Location,Taguig City
How about Drinks,Cuisine,Drinks
My favorite is အသားညှပ်ပေါင်မုန့်,Cuisine,အသားညှပ်ပေါင်မုန့်
I'm willing to pay 497,Money,497
I want to spend around 204,Money,204
I'm looking for something within 216,Money,216
I'm in Savar,Location,Savar
Valencia Bukidnon is where I reside,Location,Valencia Bukidnon
I can spend up to 698,Money,698
I can afford 211,Money,211
I'm interested in Ázijská,Cuisine,Ázijská
I want to spend around 180,Money,180
I can spend up to 375,Money,375
Let's go for မုန့်တိုက်,Cuisine,မုန့်တိုက်
I'm located in Johor Bahru,Location,Johor Bahru
I love ອາຫານຈີນ food,Cuisine,ອາຫານຈີນ
I'm craving Tészta,Cuisine,Tészta
I'm in the mood for ຕາເວັນອອກກາງ,Cuisine,ຕາເວັນອອກກາງ
I want to spend around 815,Money,815
Abbottabad is where I live,Location,Abbottabad
I'm willing to pay 494,Money,494
I'm ready to spend 212,Money,212
I'm in the mood for ໄທ,Cuisine,ໄທ
I am currently living in Liptovský Mikuláš,Location,Liptovský Mikuláš
I have 480 to spend,Money,480
I'm comfortable spending 451,Money,451
How about Beijing,Cuisine,Beijing
I can spend up to 708,Money,708
I reside in Sialkot,Location,Sialkot
I have 872 to spend,Money,872
Living in Xiengkhuang,Location,Xiengkhuang
I'm willing to pay 858,Money,858
My budget is 258,Money,258
I'm willing to pay 475,Money,475
I have around 671 for the meal,Money,671
I would like Laksa cuisine,Cuisine,Laksa
Sadiqabad is my current Sadiqabad,Location,Sadiqabad
I want to spend around 547,Money,547
I'm comfortable spending 997,Money,997
From Rajshahi here,Location,Rajshahi
I would like Bread cuisine,Cuisine,Bread
I can afford 100,Money,100
Narsingdi is my home,Location,Narsingdi
I'm comfortable spending 152,Money,152
I'm looking for Laksa,Cuisine,Laksa
I'm ready to spend 911,Money,911
ຕາເວັນຕົກ is my favorite,Cuisine,ຕາເວັນຕົກ
I want to try 異國,Cuisine,異國
My location is Liptovský Mikuláš,Location,Liptovský Mikuláš
I'm comfortable spending 842,Money,842
I'm interested in Gyros,Cuisine,Gyros
Hailing from Prešov,Location,Prešov
I enjoy 港式,Cuisine,港式
Lechon is my favorite,Cuisine,Lechon
Hailing from Cox's Bazar,Location,Cox's Bazar
Living in Kerian,Location,Kerian
My home Nitra is Nitra,Location,Nitra
I can spend up to 681,Money,681
From Nan here,Location,Nan
I'm in the mood for စွပ်ပြုတ်များ,Cuisine,စွပ်ပြုတ်များ
I can spend up to 743,Money,743
From Bintulu here,Location,Bintulu
I'm looking for Slovenská,Cuisine,Slovenská
I have 164 to spend,Money,164
I have 429 to spend,Money,429
I'm comfortable spending 801,Money,801
In Kulim right now,Location,Kulim
I'm interested in Tom Yum,Cuisine,Tom Yum
I'm looking for Chicken Wings,Cuisine,Chicken Wings
I'm comfortable spending 626,Money,626
I'm looking for something within 399,Money,399
I would like Poke Bowl cuisine,Cuisine,Poke Bowl
I am currently living in Kampong Thom,Location,Kampong Thom
Let's go for Fish,Cuisine,Fish
I'm ready to spend 736,Money,736
I can afford 437,Money,437
From Muallim here,Location,Muallim
I love ကိုရီးယားအစားအစာ food,Cuisine,ကိုရီးယားအစားအစာ
My favorite is Ázsiai,Cuisine,Ázsiai
Currently in Wah Cantt,Location,Wah Cantt
I have around 152 for the meal,Money,152
I'm located in Phrae,Location,Phrae
I would like အရှေ့အလယ်ပိုင်းအစားအစာ cuisine,Cuisine,အရှေ့အလယ်ပိုင်းအစားအစာ
I'm ready to spend 943,Money,943
I'm looking for Cafe,Cuisine,Cafe
My budget is 338,Money,338
ຂອງຫວານ is my favorite,Cuisine,ຂອງຫວານ
Trnava is where I live,Location,Trnava
I'm located in Miaoli County,Location,Miaoli County
Chanthaburi is my current Chanthaburi,Location,Chanthaburi
I'm interested in Francúzska,Cuisine,Francúzska
I can afford 152,Money,152
Miskolc is where I reside,Location,Miskolc
Currently in Chuadanga,Location,Chuadanga
My favorite is Italian,Cuisine,Italian
I'm in the mood for Roti Canai,Cuisine,Roti Canai
My home Gödöllő is Gödöllő,Location,Gödöllő
I have around 104 for the meal,Money,104
I'm ready to spend 892,Money,892
I'm interested in ອາຫານຈີນ,Cuisine,ອາຫານຈີນ
My current Teluk Intan is Teluk Intan,Location,Teluk Intan
I enjoy သက်သက်လွတ်,Cuisine,သက်သက်လွတ်
How about ຟີລິບປິນ,Cuisine,ຟີລິບປິນ
My home Sepang is Sepang,Location,Sepang
Let's go for စွပ်ပြုတ်များ,Cuisine,စွပ်ပြုတ်များ
I live in Samut Sakhon,Location,Samut Sakhon
ဖက်ထုပ် is my favorite,Cuisine,ဖက်ထုပ်
I am currently living in Natore,Location,Natore
My budget is 330,Money,330
In Poipet right now,Location,Poipet
I'm willing to pay 705,Money,705
I'm looking for something within 92,Money,92
I'm craving Rice Bowl,Cuisine,Rice Bowl
I'm in the mood for Italian,Cuisine,Italian
I'm in the mood for Cafe,Cuisine,Cafe
I'm comfortable spending 692,Money,692
My budget is 940,Money,940
I can spend up to 172,Money,172
I want to spend around 798,Money,798
I'm in the mood for အသားညှပ်ပေါင်မုန့်,Cuisine,အသားညှပ်ပေါင်မုန့်
I want to try Orosz,Cuisine,Orosz
I love Taiwanese food,Cuisine,Taiwanese
I can spend up to 422,Money,422
My current Kampong Chhnang is Kampong Chhnang,Location,Kampong Chhnang
I live in Gaibandha,Location,Gaibandha
I'm looking for Gyros,Cuisine,Gyros
I can spend up to 450,Money,450
I want to try Cambodian,Cuisine,Cambodian
My current Kaohsiung City is Kaohsiung City,Location,Kaohsiung City
How about Ázijská,Cuisine,Ázijská
Tangkak is my current Tangkak,Location,Tangkak
I want to spend around 401,Money,401
Samarahan is my current location,Location,Samarahan
I'm in Pursat,Location,Pursat
I'm looking for ໄທ,Cuisine,ໄທ
Let's go for Indická,Cuisine,Indická
I have 532 to spend,Money,532
I'm interested in Fast food,Cuisine,Fast food
My favorite is Blízkovýchodná,Cuisine,Blízkovýchodná
I want to try Cantonese,Cuisine,Cantonese
BBQ is my favorite,Cuisine,BBQ
My budget is 399,Money,399
My budget is 115,Money,115
I have around 820 for the meal,Money,820
My home Nakhon Nayok is Nakhon Nayok,Location,Nakhon Nayok
My location is Budapest,Location,Budapest
Rawang is where I reside,Location,Rawang
